measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,68059.45798389999,72480.93721060001,63889.241926200004
2,DALYs (Disability-Adjusted Life Years),40,Turkmenistan,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,35859.163667,39793.7600199,32077.4163791
2,DALYs (Disability-Adjusted Life Years),4665,Quintana Roo,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,25901.681127499996,29468.8189687,22743.442115
2,DALYs (Disability-Adjusted Life Years),14,Maldives,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,55071.9981688,59693.887253199995,50521.4192717
2,DALYs (Disability-Adjusted Life Years),35467,?ita,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,21200.1171632,24118.3454092,18562.7596063
2,DALYs (Disability-Adjusted Life Years),94,Switzerland,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,24591.7609198,27852.244243099998,21488.049338099998
2,DALYs (Disability-Adjusted Life Years),44637,Low SDI,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,53501.537584900005,57328.4191578,50075.3382853
2,DALYs (Disability-Adjusted Life Years),35438,Niigata,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,16929.2073956,20129.5083577,14060.228576399999
2,DALYs (Disability-Adjusted Life Years),138,North Africa and Middle East,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,33311.4778767,37112.1183349,29845.998802500002
2,DALYs (Disability-Adjusted Life Years),21,Oceania,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,51265.02136110001,58112.2680978,45226.375098799996
2,DALYs (Disability-Adjusted Life Years),155,Turkey,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,23994.5540207,27811.153592600003,20484.8123413
2,DALYs (Disability-Adjusted Life Years),4661,Nuevo León,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,23946.3627465,27208.531589000002,20947.105934
2,DALYs (Disability-Adjusted Life Years),214,Nigeria,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,50637.4771744,56062.2149562,45524.3838283
2,DALYs (Disability-Adjusted Life Years),159,South Asia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,40821.2723633,44420.2595992,37679.708839
2,DALYs (Disability-Adjusted Life Years),35453,Wakayama,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,22206.5055713,25211.489253300002,19571.886541
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,23845.5291506,27313.865384300003,20625.4402839
2,DALYs (Disability-Adjusted Life Years),76,Belgium,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,25948.363715900003,29222.7285643,23159.9857208
2,DALYs (Disability-Adjusted Life Years),197,Swaziland,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,54623.1353608,60694.41676950001,48891.2010442
2,DALYs (Disability-Adjusted Life Years),4644,Baja California,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,36772.6349939,40250.8477348,33644.4132742
2,DALYs (Disability-Adjusted Life Years),10,Cambodia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,39369.5803543,43186.0283099,35909.2964263
2,DALYs (Disability-Adjusted Life Years),179,Ethiopia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,45763.858288300005,51179.351580999995,40573.5249525
2,DALYs (Disability-Adjusted Life Years),95,United Kingdom,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,26505.729361399997,29797.074381299997,23565.1021832
2,DALYs (Disability-Adjusted Life Years),17,Sri Lanka,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,34906.622809600005,38341.4827915,31679.160535799998
